date,description,latitude,longitude,location,sources,time,Comments,category,New
2022-04-11,"Date of Discovery: 11 April 2022
Country: Russia, Volgograd Oblast
City/Town/Village: Kirovets

240 Ukrainians believed to be held at a camp near Kirovets. Exact geolocation pending",48.761431,44.72887,,['sources11'],00:00,,POW and Internment camps,
2022-04-11,"Date of discovery: 11 April 2022
Country: Russia, Bryansk Oblast
City/Town/Village: Novozybkov

SIZO [Detention Centre] No. 2, Krasnaya ploshchad 9, Novozybkov",52.541164,31.922079,,['sources20'],00:00,,POW and Internment camps,
2022-04-13,"Date of discovery: 13 April 2022 
Province: Oryol Oblast 
Country/Town/Village:  Streletskii 

Veterok Sanatorium is one of the TACs opened in the region to accommodate mostly children as well as adults from Ukraine.",53.089383,36.249422, Oryol Oblast    Streletskii ,['sources65'],00:00,,POW and Internment camps,
2022-04-15,"Date of discovery: 15 April 2022
Province: Donetsk Oblast
City/Town/Village: Novoazovsk

Civilians held for filtration in School No. 1, 2, and/or 3 in Novoazovsk - unclear which (Coordinates available for No. 1). One witness reported being held for two days without food and that people who resisted detainment  were beaten.",47.110942,38.08461, Donetsk Oblast  Novoazovsk,['sources33'],00:00,,POW and Internment camps,
2022-04-16,"Date of discovery: 16 April 2022
Country: Russia
City/Town/Village: Ulyanovsk

Housing survivors of the Mariupol siege include the Vanguard Patriotic Education Centre near Ivanovka in Ulyanovsk. The centre, has a focus on “military-patriotic work” and promoting a “commitment to serving ones Motherland”, opened at the site of a former orphanage in February 2022 as part of a national “education” project.",54.19595,48.101548,,['sources7'],00:00,,POW and Internment camps,
2022-04-16,"Date of discovery: 16 April 2022
Country: Russia
Province: Leningrad Oblast

Described by the Russian government as a TAP - Temporary accommodation centre, this facility is part of a wide 66 camp network that houses 530 Ukrainians including 120 children from Mariupol, part of which have also been taken to the remote Tsaritsyno Lake boarding camp complex in the Leningrad Oblast - a three-hour drive from St Petersburg.",59.705401,33.499887, Leningrad Oblast ,['sources6'],00:00,,POW and Internment camps,
2022-04-16,"Date of discovery: 16 April 2022
Country: Russia
City/Town/Village: Penza

Ukraine’s human rights ombudsman Lyudmyla Denisova has warned that more than 400 people, including 147 children, are in a fenced camp near the city of Penza, according to information she has received from concerned Russian citizens.
After the Second World War, the facility was used as a munitions dump for Soviet chemical bombs and since 2008, it was at the centre of the Russia’s programme to disarm its arsenal of nerve agents including VX and sarin.",53.119795,45.205877,,['sources4'],00:00,,POW and Internment camps,
2022-04-22,"Date of discovery: 22 April 2022
Country: Russia, Smolensk Oblast
City/Town/Village: Vyzama

Address: SIZO [Detention Centre] No. 2 - 9 Dmitrova Gora Street.",55.218451,34.300392,,['sources19'],00:00,,POW and Internment camps,
2022-04-23,"Date of discovery: 23 April 2022
Country: Russia, Rostov Oblast
City/Town/Village: Taganrog

Address: SIZO [Detention Centre] No. 2 - 175 Lenina Street, Taganrog.",47.229529,38.907233,,['sources18'],00:00,,POW and Internment camps,
2022-04-24,"Date of discovery: 24 April 2022
Province: Rostov Oblast
City/Town/Village: Kamensk-Shakhtinsky

Ukrainian soldiers held captive in general regime colony № 12 in the town of Kamensk-Shakhtinsky without converting the prison to a POW camp, in violation of the Convention on the Treatment of Prisoners of War and its Additional Protocols, adopted in 1977 and 2005.",48.321081,40.265068, Rostov Oblast  Kamensk-Shakhtinsky,['sources0'],00:00,,POW and Internment camps,
2022-04-24,"Date of Discovery: 24 April 2022
Province: Rostov Oblast
City/Town/Village: Zverevo

Ukrainian soldiers held captive in general regime colony № 12 in the town of Kamensk-Shakhtinsky without converting the prison to a POW camp in violation of the Convention on the Treatment of Prisoners of War and its Additional Protocols, adopted in 1977 and 2005, according to Ukraine Ombudsman office.",48.3141,40.269, Rostov Oblast  Zverevo,['sources14'],00:00,,POW and Internment camps,
2022-04-24,"Date of discovery: 24 April 2022
Country: Russia, Tula Oblast
City/Town/Village: Komsomolsky mikrorayon, Donskoy

IK [Correctional Colony] No. 1, Dimitrova proyezd 1, mikrorayon Komsomolsky, Donskoy - remand facilities within colony apparently emptied to make room for 100 POWs.",53.912327,38.265459,,['sources17'],00:00,,POW and Internment camps,
2022-04-25,"Date of discovery: 25 April 2022
City/Town/Village: Vovchansk

According to Ombudsman Denisova, Russian troops created an internment camp in a factory building.",50.292884,36.937003,,['sources1'],00:00,,POW and Internment camps,
2022-04-26,"Date of discovery: 26 April 2022
Country: Russia, Tver Oblast
City/Town/Village: Kashin

SIZO [Detention Centre] No. 2 on 31 Krasnaya Street - local Russian news site reported that detention centre had been closed so it could be used by the Russian Defence Ministry for prisoners of war. On 4 August, local Telegram channel Zakroy za mnoy Tver reported that the presence of c. 200 Ukrainian soldiers had been confirmed by multiple FSIN [Federal Prison Service] employees. Under Russian law, people may only be placed in a pre-trial detention centre if this has been ordered by a court.",57.371881,37.608851,,['sources27'],00:00,,POW and Internment camps,
2022-04-30,"Date of Discovery: 30 April 2022
Country: Russia
City/Town/Village: Kursk

Ukrainian men were taken to prison camps, then to ""SIZO I"", a prison in the Russian city of Kursk where it has been reported following a prisoner exchange that Ukrainians were dressed like prisoners, tortured, had their hair cut as well as forced to learn patriotic Russian songs and perform them for their supervisors.  Interrogations took place two or three times a day, after which the men were severely beaten and later forced to sign documents stating that they had been treated well. Reported by Ukrainian Ombudsman Lyudmyla Denisova",51.723298,36.159657,,['sources10'],00:00,,POW and Internment camps,
2022-05-02,"Date of discovery - 02 May 2022
Country: Russia, Volgograd Oblast
City/Town/Village: Kamyshin

The website publishes a letter from someone in the city, where the SIZO [Detention Centre] No. 2, is located, on 38 Rabochaya Street, Kamyshin.
""I live in Taganrog, SIZO-2 in Taganrog is also occupied by Ukrainian prisoners of war. I am attaching a photo. Near the pre-trial detention center now there are constantly similar cars (with a Z-swastika),"" the resident writes.",50.086833,45.396027,,['sources15'],00:00,,POW and Internment camps,
2022-05-04,"Date of discovery: 04 May 2022 
Province: Donetsk Oblast
City/Town/Village: Kozatske, Novoazovsky District

Chelyuskinska School (1 Shkilna Street, Kozatske) used to hold men from Mariupol for periods from days to weeks. Witnesses describe beatings by guards and illness among detainees.",47.23778,37.978836," Donetsk Oblast  Kozatske, Novoazovsky District",['sources31'],00:00,,POW and Internment camps,
2022-05-07,"Date of discovery: 07 May 2022
Country: Russia,  Murmansk Oblast
City/Town/Village: Murmashi

Described by the Russian government as a TAP - Temporary accommodation centre, this facility is part of a wide 66 camp network that houses Ukrainians that have been confirmed to or potentially have been forcefully sent there by the Russian Government.",68.817668,32.828136,,['sources8'],00:00,,POW and Internment camps,
2022-05-07,"Date of discovery: 07 May 2022
Country: Russia
City/Town/Village: Vladivostok 

Russian local newspaper reported in late April that about 300 Ukrainian civilians, including 86 children, pregnant women and pensioners, arrived in Vladivostok after an exhausting seven-day journey on the Trans-Siberian Express from Taganrog. The new arrivals, including survivors of the Mariupol siege, were taken to the Vostok hotel complex on the coast near Nakhodka. It is assumed that the Ukrainians did not choose to arrive here and were victims of forced deportation during wartime.",42.767199,133.065402,,['sources5'],00:00,,POW and Internment camps,
2022-05-07,"Date of discovery: 07 May 2022
Province: Donetsk and Kherson Oblasts
City/Town/Village: Bezymenne and Kozatske 

Mayor of Mariupol Vadym Boichenko has stated that around 2,000 men are being held in so-called “filtration centres” in Bezymenne and Kozatske, and not being allowed to return to their homes unless they are sick or injured. “They are being used as labour to clear the rubble, collect the dead bodies of those the Russians have killed, and cover up evidence of war crimes,” Boichenko said in a BBC interview.",47.107502,37.935746, Donetsk and Kherson Oblasts  Bezymenne and Kozatske ,['sources3'],00:00,,POW and Internment camps,
2022-05-14,"Date of discovery: 14 May 2022
 Province: Penza Oblast 
Country/Town/Village: Leonidovka 

The camp is located on a site which was used for decades as a dump for Soviet chemical weapons, according to [inews.co.uk](https://inews.co.uk/news/mariupol-ukraine-russia-war-leonidovka-putin-1579199).",53.119707,45.206737, Penza Oblast   Leonidovka ,['sources69'],00:00,,POW and Internment camps,
2022-05-15,"Date of discovery:  15 May 2022
Province: Donetsk Oblast
City/Town/Village: Olenivka 

Yenakiyeve Correctional Colony No. 52, Yaltinska Street / 2a Yaltinskaya Street, Olenivka, Yenakiyeve. Used for detention of non-active-duty military personnel, law enforcement officers, activists and journalists.  There seems to be some confusion, both in the media and on the MapHub map, over the exact locations of a prison in Olenivka. There are two places in Donetsk Oblast called Olenivka, both of which have a correctional colony - one in Volnovakha District, south of Donetsk city (No. 120) and one near the town of Yenakiyeve, north-east of Donetsk city. Both have been used to detain Ukrainians. No. 120 was the one which was bombed on 29 July.",48.265527,38.255367, Donetsk Oblast  Olenivka ,['sources29'],00:00,,POW and Internment camps,
2022-05-17,"Date of Discovery: 17 May 2022
Province: Donetsk Oblast
City/Town/Village: Olenivka

More than 3,000 civilians in Mariupol are being held by Russian forces in a ""filtration prison"" located in former correctional facility № 52 in the village of Olenivka, Donetsk region.",47.829391,37.648694, Donetsk Oblast  Olenivka,['sources12'],00:00,,POW and Internment camps,
2022-05-18,"Date of discovery: 18 May 2022
Country: Russia, Ryazan Oblast
City/Town/Village: Ryazhka

SIZO [Detention Centre] No. 2, 1a Krasnaya Street, Ryazhka - according to Current Time's sources, 219 Ukrainians, including civilians, were detained here (unknown for how long); Russian Federal Prison Service would not confirm presence of Ukrainians. Article 49 of the Geneva Conventions states that ""Individual or mass forcible transfers, as well as deportations of protected persons from occupied territory to the territory of the Occupying Power or to that of any other country, occupied or not, are prohibited, regardless of their motive"".",53.70365,40.063427,,['sources26'],00:00,,POW and Internment camps,
2022-05-19,"Date of discovery: 19 May 2022
Province: Donetsk Oblast
City/Town/Village: Makiivka

Correctional Colony No. 97 used for detention of Ukrainian solders",48.04607,37.843804, Donetsk Oblast  Makiivka,['sources23'],00:00,,POW and Internment camps,
2022-05-27,"Date of discovery: 27 May 2022 
Province: Voronezh Oblast 
Country/Town/Village: Voronezh 

One of 13 regional TACs for refugees is the Dzerzhinsky camp. The location of this camp is better indexed by [Yandex](https://bit.ly/3YUpp06).",51.825274,39.262532, Voronezh Oblast   Voronezh ,['sources54'],00:00,,POW and Internment camps,
2022-05-27,"Date of discovery: 27 May 2022 
Province: Voronezh Oblast 
Country/Town/Village: Voronezh 

One of 13 regional TACs for refugees is the German Sloboda camp. The location of this camp is better indexed by [Yandex](https://bit.ly/3S8VhvB).",51.829565,39.278159, Voronezh Oblast   Voronezh ,['sources55'],00:00,,POW and Internment camps,
2022-06-02,"Date of discovery: 02 June 2022
Province: Donetsk Oblast
City/Town/Vuillage: Molodizhne

Ukrainian POWs and civilians held in Volnovakha Correctional Colony No. 120, Molodizhne, nr. Olenivka.",47.825906,37.711459, Donetsk Oblast  Molodizhne,['sources28'],00:00,,POW and Internment camps,
2022-06-26,"Date of discovery: 26 June 2022
 Province: Kalmykia Oblast 
Country/Town/Village:  Gorodovikovsk

The Cossack Cadet School is one of three TACs organised in the region.",46.070231,41.918223, Kalmykia Oblast    Gorodovikovsk,['sources71'],00:00,,POW and Internment camps,
2022-06-26,"Date of discovery: 26 June 2022
 Province: Kalmykia Oblast 
Country/Town/Village: Gorodovikovsk 

The multidisciplinary college is one of three TACs organised in the region. As of November 2022, there were three TACs organised in the region for refugees from the so-called NVO zone, according to this [article](https://kherson-news.ru/society/2022/11/22/69423.html).",46.095721,41.935959, Kalmykia Oblast   Gorodovikovsk ,['sources70'],00:00,,POW and Internment camps,
2022-06-26,"Date of discovery: 26 June 2022
Province: Kalmykia Oblast 
Country/Town/Village: Yustinsky 

This rest house is one of three TACs organised in the region.",41.928831,46.088515, Kalmykia Oblast   Yustinsky ,['sources72'],00:00,,POW and Internment camps,
2022-07-10,"Date of discovery - 10 July 2022
Country: Russia, Volgograd Oblast
City/Town/Village: Surovikino

IK [Correctional Colony] No. 19 - 99 Ordzhonikidze Street, Surovikino - POWs apparently held in remand facilities within colony, which had been emptied of Russian detainees, according to a former member of the local Public Monitoring Commission.",48.608734,42.876393,,['sources16'],00:00,,POW and Internment camps,
2022-07-11,"Date of Discovery: 11 July 2022
Russian forces are taking Ukrainian civilians from Lysychansk to the filtration camps in occupied Kadiivka.

- Human rights Ombudwomen for the Ukrainian Verkhovna Rada Lyudmila Denisova.",48.559597,38.649985,,['sources13'],00:00,,POW and Internment camps,
2022-07-15,"Date of discovery: 15 July  2022 
Province: Samara Oblast  
Country/Town/Village: Kinek-Cherkassy district 

In July 2022, 112 children arrived by train from Donetsk, Snezhnoe, Gorlovka and Makeevka for “recreation and health improvement” at the [Kolos sanatorium](https://spark-interfax.ru/samarskaya-oblast-kinel-cherkasski-raion/ooo-kolos-inn-6372000604-ogrn-1026303717439-489b470a9d9a40b599f4e1d3793a93b3).",53.464864,51.475628, Samara Oblast    Kinek-Cherkassy district ,['sources81'],00:00,,POW and Internment camps,
2022-07-15,"Date of discovery: 15 July 2022
Province: Khabarovsk Territory 
Country/Town/Village: Bychikha  

In July 2022, Ombudsman Petr Perevezentsev visited the Ocean children camp, which hosted children from Donetsk and Luhansk.",48.555983,135.046458, Khabarovsk Territory   Bychikha  ,['sources89'],00:00,,POW and Internment camps,
